sku,slug_sugerido,imagem_principal,name,category_slug,catalog_type,preco_unitario,preco_caixa,quantidade_por_caixa,is_active,status_preenchimento,campos_pendentes,observacoes
AJ-3452,aj-3452,/imported-product-images-clean/AJ-3452.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AJ-3453,aj-3453,/imported-product-images-clean/AJ-3453.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AL-1010,al-1010,/imported-product-images-clean/AL-1010.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AL-2659,al-2659,/imported-product-images-clean/AL-2659.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AL-A155,al-a155,/imported-product-images-clean/AL-A155.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AL-A230,al-a230,/imported-product-images-clean/AL-A230.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AL-C223,al-c223,/imported-product-images-clean/AL-C223.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AL-D890,al-d890,/imported-product-images-clean/AL-D890_C款.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AL-S380,al-s380,/imported-product-images-clean/AL-S380.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
AU-4U,au-4u,/imported-product-images-clean/AU-4U.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
PN-951,pn-951,/imported-product-images-clean/PN-951.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
PN-952,pn-952,/imported-product-images-clean/PN-952.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
T10,t10,/imported-product-images-clean/T10.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
T11,t11,/imported-product-images-clean/T11.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
TX04,tx04,/imported-product-images-clean/TX04.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.
ZQ-01,zq-01,/imported-product-images-clean/ZQ-01.png,,,,,,,TRUE,PENDENTE,"name, category_slug, catalog_type, preco_unitario_ou_preco_caixa",SKU do catalogo nao encontrado no site publico.